price,date,dish,business
,29.06.2017,"Mageres Eisbeinfleisch mit Rübchen, Schnittlauch, Röstzwiebeln und Kartoffelpürree",esswirtschaft
,30.06.2017,Knusperfisch mit Kräutersauce und Kartoffelpüree,esswirtschaft
"5,40 €/ 5,80 €",30.06.2017,"Reissalat mit knackigem Gemüse, Möhren, Paprika, Staudensellerie, Rucola, Ingwer, Rosinen, Mais und einem hausgemachten Mango - Currydressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"5,40 €/ 5,80 €",26.06.2017,"Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"5,40 €/ 5,80 €",27.06.2017,"Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"5,40 €/ 5,80 €",28.06.2017,"Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"5,40 €/ 5,80 €",29.06.2017,"Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"5,40 €/ 5,80 €",30.06.2017,"Melonensalat mit Cantaloupe-, Honig- und Wassermelone, frischen Blattsalaten, Hirtenkäse, Zucchini, Lauchzwiebeln, Oliven und einem hausgemachten Melonendressing, auf Wunsch mit Hähnchenbrustfilet",suppencult
"4,30 €",26.06.2017,Minestrone Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden,suppencult
"4,30 €",27.06.2017,Minestrone Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden,suppencult
"4,30 €",28.06.2017,Minestrone Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden,suppencult
"4,30 €",29.06.2017,Minestrone Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden,suppencult
"4,30 €",30.06.2017,Minestrone Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden,suppencult
"4,30 €",26.06.2017,"Mangold - Kartoffeltopf mit Sahne und frischem Schnittlauch, auf Wunsch mit Eierstich",suppencult
"4,30 €",27.06.2017,"Mangold - Kartoffeltopf mit Sahne und frischem Schnittlauch, auf Wunsch mit Eierstich",suppencult
"4,30 €",28.06.2017,"Mangold - Kartoffeltopf mit Sahne und frischem Schnittlauch, auf Wunsch mit Eierstich",suppencult
"4,30 €",29.06.2017,"Mangold - Kartoffeltopf mit Sahne und frischem Schnittlauch, auf Wunsch mit Eierstich",suppencult
"4,30 €",30.06.2017,"Mangold - Kartoffeltopf mit Sahne und frischem Schnittlauch, auf Wunsch mit Eierstich",suppencult
"4,25 €",26.06.2017,"Pikante Tomaten - Kokoscrème mit Glasnudeln, Croutons und frischem Schnittlauch",suppencult
"4,25 €",27.06.2017,"Pikante Tomaten - Kokoscrème mit Glasnudeln, Croutons und frischem Schnittlauch",suppencult
"4,25 €",28.06.2017,"Pikante Tomaten - Kokoscrème mit Glasnudeln, Croutons und frischem Schnittlauch",suppencult
"4,25 €",29.06.2017,"Pikante Tomaten - Kokoscrème mit Glasnudeln, Croutons und frischem Schnittlauch",suppencult
"4,25 €",30.06.2017,"Pikante Tomaten - Kokoscrème mit Glasnudeln, Croutons und frischem Schnittlauch",suppencult
"4,40 €",26.06.2017,"Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen",suppencult
"4,40 €",27.06.2017,"Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen",suppencult
"4,40 €",28.06.2017,"Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen",suppencult
"4,40 €",29.06.2017,"Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen",suppencult
"4,40 €",30.06.2017,"Kalte litauische Rote Bete Suppe mit Buttermilch, Gurken und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen",suppencult
"2,80 €/ 3,50 €",26.06.2017,Kalter Buttermilch Reispudding mit frischen Erdbeeren,suppencult
"2,80 €/ 3,50 €",27.06.2017,Kalter Buttermilch Reispudding mit frischen Erdbeeren,suppencult
"2,80 €/ 3,50 €",28.06.2017,Kalter Buttermilch Reispudding mit frischen Erdbeeren,suppencult
"2,80 €/ 3,50 €",29.06.2017,Kalter Buttermilch Reispudding mit frischen Erdbeeren,suppencult
"2,80 €/ 3,50 €",30.06.2017,Kalter Buttermilch Reispudding mit frischen Erdbeeren,suppencult
"2,50 €/ 3,20 €",26.06.2017,Kalte Cookie Crème mit Weintrauben,suppencult
"2,50 €/ 3,20 €",27.06.2017,Kalte Cookie Crème mit Weintrauben,suppencult
"2,50 €/ 3,20 €",28.06.2017,Kalte Cookie Crème mit Weintrauben,suppencult
"2,50 €/ 3,20 €",29.06.2017,Kalte Cookie Crème mit Weintrauben,suppencult
"2,50 €/ 3,20 €",30.06.2017,Kalte Cookie Crème mit Weintrauben,suppencult
