"","5,50","Alexanderplatz","Suppencult","Hausgemachtes Hühnerfrikassee mit Spargel, Erbsen, Möhren, Champigons, dazu Reis und frische Petersilie","14.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","10.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","11.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","12.07.2017"
"ingredients","price","location","business","dish","date"
"","4.00","Adlershof","Sonnenschein","Soljanka nach Hausfrauenart & 1 Brötchen","10.07.2017"
"","6.00","Adlershof","Sonnenschein","Gegrillte Hühnerbrust, Rosmarinkartoffeln, zerlassene Kräuterbutter, Zucchinigemüse","10.07.2017"
"","6.00","Adlershof","Sonnenschein","Mit Schweinegehacktem gefüllte Paprikaschotte, Butterkartoffeln, Erbsen, Del.sauce","10.07.2017"
"","6.00","Adlershof","Sonnenschein","Schweineroulade „Jäger Art“ Buchweizen, Möhrengemüse","10.07.2017"
"vegetarian","5.00","Adlershof","Sonnenschein","Tortilla „Spanische Art“, Käsesahnesauce, Salat (vegetarisch)","10.07.2017"
"","4.00","Adlershof","Sonnenschein","Hühner-gemüse-Suppe mit China Nudeln & 1 Brötchen","11.07.2017"
"","6.50","Adlershof","Sonnenschein","Mit Honig & Chili glasierte Entenkeule, Apfelrotkohl, Kartoffel Klöße, Del.sauce","11.07.2017"
"","6.00","Adlershof","Sonnenschein","Schweine Cordon Bleu, Bratkartoffeln, Champignonrahmsauce, Salat","11.07.2017"
"","5.90","Adlershof","Sonnenschein","Lasagne Bolognese, cremige Tomatensauce, Salat","11.07.2017"
"vegetarian","5.00","Adlershof","Sonnenschein","Gemüse Curry zu Bulgur (vegetarisch)","11.07.2017"
"","4.00","Adlershof","Sonnenschein","Grüne Bohnen-Kasseler Eintopf & 1 Brötchen","12.07.2017"
"","6.00","Adlershof","Sonnenschein","Rinder-Paprika-Gulasch „Ungarische Art“, Nudeln","12.07.2017"
"","6.00","Adlershof","Sonnenschein","Hühnerbrust „Fromage“ Möhrengemüse, Butterkartoffeln, Kräuterrahmsauce","12.07.2017"
"","6.00","Adlershof","Sonnenschein","Mit Eifüllung Hackschnitte, Gnocci, Erbsen, Kräuterrahmsauce","12.07.2017"
"vegetarian","5.00","Adlershof","Sonnenschein","Zwei Spiegeleier, Gorgonzola Rahmspinat, Naturkartoffeln(vegetarisch)","12.07.2017"
"","4.00","Adlershof","Sonnenschein","Mexikanische Hühnereintopf & 1 Brötchen","13.07.2017"
"","6.80","Adlershof","Sonnenschein","Norwegische Lachsschnitte auf Kartoffel-Zucchini-Möhren-Mangold Gemüse, zerlassene Kräuterbutter","13.07.2017"
"","6.00","Adlershof","Sonnenschein","Mit Hühner gehacktem & Champignon gefüllte Putenroulade, Reispilav","13.07.2017"
"","5.90","Adlershof","Sonnenschein","Königsberger Klopse in Kapernsauce, Butterkartoffel, Erbsen","13.07.2017"
"vegetarian","5.00","Adlershof","Sonnenschein","Mit Gemüsereis gefüllte Türkische Paprika, cremige Tomatensauce, Jogurt (vegetarisch)","13.07.2017"
"","4.00","Adlershof","Sonnenschein","Kartoffelsuppe mit Kasseler würfeln & 1 Brötchen","14.07.2017"
"","6.00","Adlershof","Sonnenschein","Mit Backpflaume & eingelegte Tomaten gefüllte Rinderhacksteak, grüne Bohnen, Butterkartoffeln, Del.sauce","14.07.2017"
"","6.00","Adlershof","Sonnenschein","Hühnerbrust Spieß zu Knöpfli(Nudeln), Möhrengemüse, Paprika-Zwiebeln-Tomatensauce","14.07.2017"
"vegetarian","5.00","Adlershof","Sonnenschein","Penne zu Pilzbolognese (vegetarisch)","14.07.2017"
"ingredients","price","location","business","dish","date"
"","3.90","Adlershof","Albert","Erbsensuppe mit Speck","10.07.2017"
"vegetarian","5.00","Adlershof","Albert","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","10.07.2017"
"","5.70","Adlershof","Albert","Wurstgulasch mit Spirelli","10.07.2017"
"vegetarian","3.90","Adlershof","Albert","Käse-Lauchsuppe","11.07.2017"
"vegetarian","5.00","Adlershof","Albert","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","11.07.2017"
"","5.80","Adlershof","Albert","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","11.07.2017"
"vegetarian","3.90","Adlershof","Albert","Altmärkische Gemüsesuppe mit Eierstich","12.07.2017"
"vegetarian","5.00","Adlershof","Albert","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","12.07.2017"
"","5.80","Adlershof","Albert","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","12.07.2017"
"vegetarian","3.90","Adlershof","Albert","Italienische Minestrone","13.07.2017"
"vegetarian","5.00","Adlershof","Albert","Spinat-Lasagne mit Tomatensauce & Schafskäse","13.07.2017"
"","5.80","Adlershof","Albert","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","13.07.2017"
"","3.90","Adlershof","Albert","Grüne Bohneneintopf mit Kasseler","14.07.2017"
"vegetarian","5.00","Adlershof","Albert","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","14.07.2017"
"","5.80","Adlershof","Albert","Königsberger Klopse mit Erbsen-Karottengemüse &","14.07.2017"
"","7.00","Adlershof","Albert","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","14.07.2017"
"","5.50","Adlershof","Albert","Klassisch mit Speck & Zwiebeln","14.07.2017"
"","5.50","Adlershof","Albert","Mozzarella, Tomate & frischer Basilikum","14.07.2017"
"","6.00","Adlershof","Albert","Rucola, Serranoschinken & Parmesan","14.07.2017"
"","6.00","Adlershof","Albert","Thunfisch & Zwiebeln","14.07.2017"
"","3.90","Adlershof","Albert","Erbsensuppe mit Speck","10.07.2017"
"vegetarian","5.00","Adlershof","Albert","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","10.07.2017"
"","5.70","Adlershof","Albert","Wurstgulasch mit Spirelli","10.07.2017"
"vegetarian","3.90","Adlershof","Albert","Käse-Lauchsuppe","11.07.2017"
"vegetarian","5.00","Adlershof","Albert","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","11.07.2017"
"","5.80","Adlershof","Albert","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","11.07.2017"
"vegetarian","3.90","Adlershof","Albert","Altmärkische Gemüsesuppe mit Eierstich","12.07.2017"
"vegetarian","5.00","Adlershof","Albert","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","12.07.2017"
"","5.80","Adlershof","Albert","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","12.07.2017"
"vegetarian","3.90","Adlershof","Albert","Italienische Minestrone","13.07.2017"
"vegetarian","5.00","Adlershof","Albert","Spinat-Lasagne mit Tomatensauce & Schafskäse","13.07.2017"
"","5.80","Adlershof","Albert","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","13.07.2017"
"","3.90","Adlershof","Albert","Grüne Bohneneintopf mit Kasseler","14.07.2017"
"vegetarian","5.00","Adlershof","Albert","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","14.07.2017"
"","5.80","Adlershof","Albert","Königsberger Klopse mit Erbsen-Karottengemüse &","14.07.2017"
"ingredients","price","location","business","dish","date"
"","","Adlershof","Esswirtschaft","Hähnchen in Paprikarahmsauce mit Reis","10.07.2017"
"","","Adlershof","Esswirtschaft","Hähnchen in Paprikarahmsauce mit Reis","11.07.2017"
"","","Adlershof","Esswirtschaft","Hähnchen in Paprikarahmsauce mit Reis","12.07.2017"
"","","Adlershof","Esswirtschaft","Hähnchen in Paprikarahmsauce mit Reis","13.07.2017"
"","","Adlershof","Esswirtschaft","Hähnchen in Paprikarahmsauce mit Reis","14.07.2017"
"","","Adlershof","Esswirtschaft","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","10.07.2017"
"","","Adlershof","Esswirtschaft","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","11.07.2017"
"","","Adlershof","Esswirtschaft","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","12.07.2017"
"","","Adlershof","Esswirtschaft","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","13.07.2017"
"","","Adlershof","Esswirtschaft","Salatherzen mit Ceasar Dressing und gebratener Hähnchenbrust","14.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","10.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","11.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","12.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","13.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","14.07.2017"
"","","Adlershof","Esswirtschaft","Tunesische Currysuppe mit Huhn","10.07.2017"
"","","Adlershof","Esswirtschaft","Tunesische Currysuppe mit Huhn","11.07.2017"
"","","Adlershof","Esswirtschaft","Tunesische Currysuppe mit Huhn","12.07.2017"
"","","Adlershof","Esswirtschaft","Tunesische Currysuppe mit Huhn","13.07.2017"
"","","Adlershof","Esswirtschaft","Tunesische Currysuppe mit Huhn","14.07.2017"
"","","Adlershof","Esswirtschaft","Möhrensuppe mit Pute","10.07.2017"
"","","Adlershof","Esswirtschaft","Möhrensuppe mit Pute","11.07.2017"
"","","Adlershof","Esswirtschaft","Möhrensuppe mit Pute","12.07.2017"
"","","Adlershof","Esswirtschaft","Möhrensuppe mit Pute","13.07.2017"
"","","Adlershof","Esswirtschaft","Möhrensuppe mit Pute","14.07.2017"
"","","Adlershof","Esswirtschaft","Mediterrane Ratatouillesuppe","10.07.2017"
"","","Adlershof","Esswirtschaft","Mediterrane Ratatouillesuppe","11.07.2017"
"","","Adlershof","Esswirtschaft","Mediterrane Ratatouillesuppe","12.07.2017"
"","","Adlershof","Esswirtschaft","Mediterrane Ratatouillesuppe","13.07.2017"
"","","Adlershof","Esswirtschaft","Mediterrane Ratatouillesuppe","14.07.2017"
"","","Adlershof","Esswirtschaft","Curry-Lamm-Kartoffeln mit Kichererbsen und Basmatireis","10.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Schupfnudelpfanne mit Gemüse und frittiertem Rucola","10.07.2017"
"","","Adlershof","Esswirtschaft","Kasselernacken mit Sauerkraut, dazu Kartoffeln","11.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Spaghettini mit Provolone, Olivenöl und Rucola","11.07.2017"
"","","Adlershof","Esswirtschaft","Schweinefleisch Hoi Sin mit Gemüse, dazu Mie Nudeln","12.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Leichtes Gemüsecurry mit Shiitake-Pilzen und Basmatireis","12.07.2017"
"","","Adlershof","Esswirtschaft","Jägerschnitzel mit Tomatensauce und Spiralnudeln","13.07.2017"
"vegetarian","","Adlershof","Esswirtschaft","Lauch-Zwiebel-Quiche mit Rauke und Parmesan","13.07.2017"
"","","Adlershof","Esswirtschaft","Hokifilet Müllerinnen Art  in Honig-Senf-Sauce, dazu Reis","14.07.2017"
"vegan;vegetarian","","Adlershof","Esswirtschaft","Ragout von mediterranem Gemüse mit Rosmarin-kartoffeln und Rucolasalat","14.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","13.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Linsensalat mit roten Linsen, Hirtenkäse, Roter Bete, Lauchzwiebeln, Pfirsichstücken, einem hausgemachten Honig - Senfdressing und frischer Petersilie, auf Wunsch mit Hähnchenbrustfilet","14.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","10.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","11.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","12.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","13.07.2017"
"","5,40/5,80","Alexanderplatz","Suppencult","Mexikanischer Salat mit Kidney Bohnen, Mais, Oliven, Hirtenkäse, Paprika und einem hausgemachten Chili - Balsamicodressing, dazu scharfe Tortilla Chips, auf Wunsch mit Hähnchenbrustfilet","14.07.2017"
"","4,30","Alexanderplatz","Suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","10.07.2017"
"","4,30","Alexanderplatz","Suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","11.07.2017"
"","4,30","Alexanderplatz","Suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","12.07.2017"
"","4,30","Alexanderplatz","Suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","13.07.2017"
"","4,30","Alexanderplatz","Suppencult","Soup au Pistou Unsere vegetarischen Suppen können auch als vegane Speisen serviert werden","14.07.2017"
"","4,30","Alexanderplatz","Suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","10.07.2017"
"","4,30","Alexanderplatz","Suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","11.07.2017"
"","4,30","Alexanderplatz","Suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","12.07.2017"
"","4,30","Alexanderplatz","Suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","13.07.2017"
"","4,30","Alexanderplatz","Suppencult","Zucchinicrème mit Kokosmilch, Basilikum, Ingwer und Croutons","14.07.2017"
"","3,90/4,25","Alexanderplatz","Suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","10.07.2017"
"","3,90/4,25","Alexanderplatz","Suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","11.07.2017"
"","3,90/4,25","Alexanderplatz","Suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","12.07.2017"
"","3,90/4,25","Alexanderplatz","Suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","13.07.2017"
"","3,90/4,25","Alexanderplatz","Suppencult","Erbsencrème mit Sahne und frischer Petersilie, auf Wunsch mit Würstchen","14.07.2017"
"","4,40","Alexanderplatz","Suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","10.07.2017"
"","4,40","Alexanderplatz","Suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","11.07.2017"
"","4,40","Alexanderplatz","Suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","12.07.2017"
"","4,40","Alexanderplatz","Suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","13.07.2017"
"","4,40","Alexanderplatz","Suppencult","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","14.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","10.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","11.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","12.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","13.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","14.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Vanille Quarkcrème mit frischen Erdbeeren","10.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Vanille Quarkcrème mit frischen Erdbeeren","11.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Vanille Quarkcrème mit frischen Erdbeeren","12.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Vanille Quarkcrème mit frischen Erdbeeren","13.07.2017"
"","2,50/3,20","Alexanderplatz","Suppencult","Vanille Quarkcrème mit frischen Erdbeeren","14.07.2017"
