"price","location","dish","business","date","ingredients"
"","Adlershof","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","Esswirtschaft","10.07.2017","vegetarian"
"","Adlershof","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","Esswirtschaft","11.07.2017","vegetarian"
"","Adlershof","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","Esswirtschaft","12.07.2017","vegetarian"
"","Adlershof","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","Esswirtschaft","13.07.2017","vegetarian"
"","Adlershof","Kartoffelsalat im Glas, mit Rucola, Oliven, Tomaten, Parmesan und Cranberrydressing","Esswirtschaft","14.07.2017","vegetarian"
"","Adlershof","Tunesische Currysuppe mit Huhn","Esswirtschaft","10.07.2017",""
"","Adlershof","Tunesische Currysuppe mit Huhn","Esswirtschaft","11.07.2017",""
"","Adlershof","Tunesische Currysuppe mit Huhn","Esswirtschaft","12.07.2017",""
"","Adlershof","Tunesische Currysuppe mit Huhn","Esswirtschaft","13.07.2017",""
"","Adlershof","Tunesische Currysuppe mit Huhn","Esswirtschaft","14.07.2017",""
"","Adlershof","Möhrensuppe mit Pute","Esswirtschaft","10.07.2017",""
"","Adlershof","Möhrensuppe mit Pute","Esswirtschaft","11.07.2017",""
"","Adlershof","Möhrensuppe mit Pute","Esswirtschaft","12.07.2017",""
"","Adlershof","Möhrensuppe mit Pute","Esswirtschaft","13.07.2017",""
"","Adlershof","Möhrensuppe mit Pute","Esswirtschaft","14.07.2017",""
"","Adlershof","Mediterrane Ratatouillesuppe","Esswirtschaft","10.07.2017",""
"","Adlershof","Mediterrane Ratatouillesuppe","Esswirtschaft","11.07.2017",""
"","Adlershof","Mediterrane Ratatouillesuppe","Esswirtschaft","12.07.2017",""
"","Adlershof","Mediterrane Ratatouillesuppe","Esswirtschaft","13.07.2017",""
"","Adlershof","Mediterrane Ratatouillesuppe","Esswirtschaft","14.07.2017",""
"","Adlershof","Curry-Lamm-Kartoffeln mit Kichererbsen und Basmatireis","Esswirtschaft","10.07.2017",""
"","Adlershof","Schupfnudelpfanne mit Gemüse und frittiertem Rucola","Esswirtschaft","10.07.2017","vegetarian"
"","Adlershof","Kasselernacken mit Sauerkraut, dazu Kartoffeln","Esswirtschaft","11.07.2017",""
"","Adlershof","Spaghettini mit Provolone, Olivenöl und Rucola","Esswirtschaft","11.07.2017","vegetarian"
"","Adlershof","Schweinefleisch Hoi Sin mit Gemüse, dazu Mie Nudeln","Esswirtschaft","12.07.2017",""
"","Adlershof","Leichtes Gemüsecurry mit Shiitake-Pilzen und Basmatireis","Esswirtschaft","12.07.2017","vegetarian"
"","Adlershof","Jägerschnitzel mit Tomatensauce und Spiralnudeln","Esswirtschaft","13.07.2017",""
"","Adlershof","Lauch-Zwiebel-Quiche mit Rauke und Parmesan","Esswirtschaft","13.07.2017","vegetarian"
"","Adlershof","Hokifilet Müllerinnen Art  in Honig-Senf-Sauce, dazu Reis","Esswirtschaft","14.07.2017",""
"","Adlershof","Ragout von mediterranem Gemüse mit Rosmarin-kartoffeln und Rucolasalat","Esswirtschaft","14.07.2017","vegan;vegetarian"
"4,40","Alexanderplatz","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","Suppencult","11.07.2017",""
"4,40","Alexanderplatz","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","Suppencult","12.07.2017",""
"4,40","Alexanderplatz","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","Suppencult","13.07.2017",""
"4,40","Alexanderplatz","Okraschka kalte Gemüsesuppe mit Kartoffeln, Buttermilch, Radieschen und frischem Dill, auf Wunsch mit gekochtem Ei und Kochschinkenstreifen","Suppencult","14.07.2017",""
"2,50/3,20","Alexanderplatz","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","Suppencult","10.07.2017",""
"2,50/3,20","Alexanderplatz","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","Suppencult","11.07.2017",""
"2,50/3,20","Alexanderplatz","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","Suppencult","12.07.2017",""
"2,50/3,20","Alexanderplatz","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","Suppencult","13.07.2017",""
"2,50/3,20","Alexanderplatz","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","Suppencult","14.07.2017",""
"2,50/3,20","Alexanderplatz","Vanille Quarkcrème mit frischen Erdbeeren","Suppencult","10.07.2017",""
"2,50/3,20","Alexanderplatz","Vanille Quarkcrème mit frischen Erdbeeren","Suppencult","11.07.2017",""
"2,50/3,20","Alexanderplatz","Vanille Quarkcrème mit frischen Erdbeeren","Suppencult","12.07.2017",""
"2,50/3,20","Alexanderplatz","Vanille Quarkcrème mit frischen Erdbeeren","Suppencult","13.07.2017",""
"2,50/3,20","Alexanderplatz","Vanille Quarkcrème mit frischen Erdbeeren","Suppencult","14.07.2017",""
