"date","business","dish","price"
"12.07.2017","albert","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","5.00"
"12.07.2017","albert","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","5.80"
"13.07.2017","albert","Italienische Minestrone","3.90"
"13.07.2017","albert","Spinat-Lasagne mit Tomatensauce & Schafskäse","5.00"
"13.07.2017","albert","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","5.80"
"14.07.2017","albert","Grüne Bohneneintopf mit Kasseler","3.90"
"14.07.2017","albert","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","5.00"
"14.07.2017","albert","Königsberger Klopse mit Erbsen-Karottengemüse &","5.80"
"14.07.2017","albert","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","7.00"
"14.07.2017","albert","Klassisch mit Speck & Zwiebeln","5.50"
"14.07.2017","albert","Mozzarella, Tomate & frischer Basilikum","5.50"
"14.07.2017","albert","Rucola, Serranoschinken & Parmesan","6.00"
"14.07.2017","albert","Thunfisch & Zwiebeln","6.00"
"10.07.2017","albert","Erbsensuppe mit Speck","3.90"
"10.07.2017","albert","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","5.00"
"10.07.2017","albert","Wurstgulasch mit Spirelli","5.70"
"11.07.2017","albert","Käse-Lauchsuppe","3.90"
"11.07.2017","albert","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","5.00"
"11.07.2017","albert","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","5.80"
"12.07.2017","albert","Altmärkische Gemüsesuppe mit Eierstich","3.90"
"12.07.2017","albert","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","5.00"
"12.07.2017","albert","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","5.80"
"13.07.2017","albert","Italienische Minestrone","3.90"
"13.07.2017","albert","Spinat-Lasagne mit Tomatensauce & Schafskäse","5.00"
"13.07.2017","albert","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","5.80"
"14.07.2017","albert","Grüne Bohneneintopf mit Kasseler","3.90"
"14.07.2017","albert","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","5.00"
"14.07.2017","albert","Königsberger Klopse mit Erbsen-Karottengemüse &","5.80"
"13.07.2017","suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","2,50/3,20"
"14.07.2017","suppencult","Kalter Vollkorngriespudding mit Kirschen oder Apfelmus, Zucker und Zimt","2,50/3,20"
"10.07.2017","suppencult","Vanille Quarkcrème mit frischen Erdbeeren","2,50/3,20"
"11.07.2017","suppencult","Vanille Quarkcrème mit frischen Erdbeeren","2,50/3,20"
"12.07.2017","suppencult","Vanille Quarkcrème mit frischen Erdbeeren","2,50/3,20"
"13.07.2017","suppencult","Vanille Quarkcrème mit frischen Erdbeeren","2,50/3,20"
"14.07.2017","suppencult","Vanille Quarkcrème mit frischen Erdbeeren","2,50/3,20"
"price","dish","business","date"
"3.90","Erbsensuppe mit Speck","albert","10.07.2017"
"5.00","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","albert","10.07.2017"
"5.70","Wurstgulasch mit Spirelli","albert","10.07.2017"
"3.90","Käse-Lauchsuppe","albert","11.07.2017"
"5.00","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","albert","11.07.2017"
"5.80","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","albert","11.07.2017"
"3.90","Altmärkische Gemüsesuppe mit Eierstich","albert","12.07.2017"
"5.00","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","albert","12.07.2017"
"5.80","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","albert","12.07.2017"
"3.90","Italienische Minestrone","albert","13.07.2017"
"5.00","Spinat-Lasagne mit Tomatensauce & Schafskäse","albert","13.07.2017"
"5.80","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","albert","13.07.2017"
"3.90","Grüne Bohneneintopf mit Kasseler","albert","14.07.2017"
"5.00","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","albert","14.07.2017"
"5.80","Königsberger Klopse mit Erbsen-Karottengemüse &","albert","14.07.2017"
"7.00","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse","albert","14.07.2017"
"5.50","Klassisch mit Speck & Zwiebeln","albert","14.07.2017"
"5.50","Mozzarella, Tomate & frischer Basilikum","albert","14.07.2017"
"6.00","Rucola, Serranoschinken & Parmesan","albert","14.07.2017"
"6.00","Thunfisch & Zwiebeln","albert","14.07.2017"
"3.90","Erbsensuppe mit Speck","albert","10.07.2017"
"5.00","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso","albert","10.07.2017"
"5.70","Wurstgulasch mit Spirelli","albert","10.07.2017"
"3.90","Käse-Lauchsuppe","albert","11.07.2017"
"5.00","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten","albert","11.07.2017"
"5.80","BBQ-Hähnchenkeule mit Wedges & Cole Slaw","albert","11.07.2017"
"3.90","Altmärkische Gemüsesuppe mit Eierstich","albert","12.07.2017"
"5.00","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen","albert","12.07.2017"
"5.80","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken","albert","12.07.2017"
"3.90","Italienische Minestrone","albert","13.07.2017"
"5.00","Spinat-Lasagne mit Tomatensauce & Schafskäse","albert","13.07.2017"
"5.80","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm","albert","13.07.2017"
"3.90","Grüne Bohneneintopf mit Kasseler","albert","14.07.2017"
"5.00","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons","albert","14.07.2017"
"5.80","Königsberger Klopse mit Erbsen-Karottengemüse &","albert","14.07.2017"
"business","price","date","dish"
"albert","3.90","10.07.2017","Erbsensuppe mit Speck"
"albert","5.00","10.07.2017","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso"
"albert","5.70","10.07.2017","Wurstgulasch mit Spirelli"
"albert","3.90","11.07.2017","Käse-Lauchsuppe"
"albert","5.00","11.07.2017","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten"
"albert","5.80","11.07.2017","BBQ-Hähnchenkeule mit Wedges & Cole Slaw"
"albert","3.90","12.07.2017","Altmärkische Gemüsesuppe mit Eierstich"
"albert","5.00","12.07.2017","Linguine mit Apfel-Ziegenkäsesauce & Walnüssen"
"albert","5.80","12.07.2017","Spätzle-Hackfleischauflauf mit Porree & Käse überbacken"
"albert","3.90","13.07.2017","Italienische Minestrone"
"albert","5.00","13.07.2017","Spinat-Lasagne mit Tomatensauce & Schafskäse"
"albert","5.80","13.07.2017","Chicken-Fajita mit mexikanischem Gemüse, Käse & Sauerrahm"
"albert","3.90","14.07.2017","Grüne Bohneneintopf mit Kasseler"
"albert","5.00","14.07.2017","Sommerliche Schupfnudelpfanne mit Zucchini, Champignons"
"albert","5.80","14.07.2017","Königsberger Klopse mit Erbsen-Karottengemüse &"
"albert","7.00","14.07.2017","Summertime mit Schmand, Nektarinen, Honig & Ziegenkäse"
"albert","5.50","14.07.2017","Klassisch mit Speck & Zwiebeln"
"albert","5.50","14.07.2017","Mozzarella, Tomate & frischer Basilikum"
"albert","6.00","14.07.2017","Rucola, Serranoschinken & Parmesan"
"albert","6.00","14.07.2017","Thunfisch & Zwiebeln"
"albert","3.90","10.07.2017","Erbsensuppe mit Speck"
"albert","5.00","10.07.2017","Paprika gefüllt mit Couscous, Currysauce & Lollo Rosso"
"albert","5.70","10.07.2017","Wurstgulasch mit Spirelli"
"albert","3.90","11.07.2017","Käse-Lauchsuppe"
"albert","5.00","11.07.2017","Blumenkohl-Broccoli-Gratin mit Pesto von getrockneten Tomaten"
