"price","dish","date","ingredients","business","location"
"4,70","Mexikanischer Rindfleischtopf mit Reis, Tomaten, Paprika, Zucchini, Chili, Crème fraiche und frischem Koriander","27.07.2017","","Suppencult","Alexanderplatz"
"4,70","Mexikanischer Rindfleischtopf mit Reis, Tomaten, Paprika, Zucchini, Chili, Crème fraiche und frischem Koriander","28.07.2017","","Suppencult","Alexanderplatz"
"4,30","Bunter Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","24.07.2017","","Suppencult","Alexanderplatz"
"4,30","Bunter Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","25.07.2017","","Suppencult","Alexanderplatz"
"4,30","Bunter Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","26.07.2017","","Suppencult","Alexanderplatz"
"4,30","Bunter Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","27.07.2017","","Suppencult","Alexanderplatz"
"4,30","Bunter Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie","28.07.2017","","Suppencult","Alexanderplatz"
"4,40","Borschtsch mit Seelachsfilet, Kartoffeln, Spitzkohl, Rote Bete, Crème fraiche und frischem Dill","24.07.2017","Fish","Suppencult","Alexanderplatz"
"4,40","Borschtsch mit Seelachsfilet, Kartoffeln, Spitzkohl, Rote Bete, Crème fraiche und frischem Dill","25.07.2017","Fish","Suppencult","Alexanderplatz"
"4,40","Borschtsch mit Seelachsfilet, Kartoffeln, Spitzkohl, Rote Bete, Crème fraiche und frischem Dill","26.07.2017","Fish","Suppencult","Alexanderplatz"
"4,40","Borschtsch mit Seelachsfilet, Kartoffeln, Spitzkohl, Rote Bete, Crème fraiche und frischem Dill","27.07.2017","Fish","Suppencult","Alexanderplatz"
"4,40","Borschtsch mit Seelachsfilet, Kartoffeln, Spitzkohl, Rote Bete, Crème fraiche und frischem Dill","28.07.2017","Fish","Suppencult","Alexanderplatz"
"5,50","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","24.07.2017","","Suppencult","Alexanderplatz"
"5,50","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","25.07.2017","","Suppencult","Alexanderplatz"
"5,50","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","26.07.2017","","Suppencult","Alexanderplatz"
"5,50","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","27.07.2017","","Suppencult","Alexanderplatz"
"5,50","Hausgemachte Lasagne Bolognese serviert mit einem frischen Salat","28.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Linsensalat mit braunen Linsen, Hirtenkäse, Spinat, Fenchel, Weintrauben und einem hausgemachten Orangendressing, auf Wunsch mit Hähnchenbrustfilet","24.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Linsensalat mit braunen Linsen, Hirtenkäse, Spinat, Fenchel, Weintrauben und einem hausgemachten Orangendressing, auf Wunsch mit Hähnchenbrustfilet","25.07.2017","","Suppencult","Alexanderplatz"
"5,40/5,80","Linsensalat mit braunen Linsen, Hirtenkäse, Spinat, Fenchel, Weintrauben und einem hausgemachten Orangendressing, auf Wunsch mit Hähnchenbrustfilet","26.07.2017","","Suppencult","Alexanderplatz"
