"ingredients","business","dish","price","location","date"
"","Esswirtschaft","Südamerikanisches Erdnuss-Mangosüppchen","","Adlershof","2017-09-13 00:00:00"
"","Esswirtschaft","Südamerikanisches Erdnuss-Mangosüppchen","","Adlershof","2017-09-14 00:00:00"
"","Esswirtschaft","Südamerikanisches Erdnuss-Mangosüppchen","","Adlershof","2017-09-15 00:00:00"
"Vegan;Vegetarian","Esswirtschaft","Veganes rotes Curry mit schwarzen Linsen","","Adlershof","2017-09-11 00:00:00"
"Vegan;Vegetarian","Esswirtschaft","Veganes rotes Curry mit schwarzen Linsen","","Adlershof","2017-09-12 00:00:00"
"Vegan;Vegetarian","Esswirtschaft","Veganes rotes Curry mit schwarzen Linsen","","Adlershof","2017-09-13 00:00:00"
"Vegan;Vegetarian","Esswirtschaft","Veganes rotes Curry mit schwarzen Linsen","","Adlershof","2017-09-14 00:00:00"
"Vegan;Vegetarian","Esswirtschaft","Veganes rotes Curry mit schwarzen Linsen","","Adlershof","2017-09-15 00:00:00"
"","Esswirtschaft","Tandoori Huhn mit Erdnuss, Kreuzkümmel dazu Basmatireis","","Adlershof","2017-09-11 00:00:00"
"Vegetarian","Esswirtschaft","Gemüseragout mit Champignons und Erbsen, dazu Kräutertaschen","","Adlershof","2017-09-11 00:00:00"
"ingredients","business","dish","price","location","date"
"Bio","Jouis Nour","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","7.5","Adlershof","2017-07-14 00:00:00"
"Vegetarian;Bio","Jouis Nour","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","5.9","Adlershof","2017-07-14 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","4.5","Adlershof","2017-07-14 00:00:00"
"Bio","Jouis Nour","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","7.5","Adlershof","2017-07-17 00:00:00"
"Vegetarian;Bio","Jouis Nour","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","5.9","Adlershof","2017-07-17 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Zucchinicremesuppe mit gerösteten Haferflocken","4.5","Adlershof","2017-07-17 00:00:00"
"Bio","Jouis Nour","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","7.5","Adlershof","2017-07-18 00:00:00"
"Vegan;Vegetarian;Bio","Jouis Nour","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","5.9","Adlershof","2017-07-18 00:00:00"
"Vegetarian;Soup;Bio","Jouis Nour","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","4","Adlershof","2017-07-18 00:00:00"
"Bio","Jouis Nour","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","7.5","Adlershof","2017-07-19 00:00:00"
"Vegetarian;Bio","Jouis Nour","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","5.5","Adlershof","2017-07-19 00:00:00"
"Vegan;Vegetarian;Bio","Jouis Nour","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","4.5","Adlershof","2017-07-19 00:00:00"
"Fish","Jouis Nour","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","7.9","Adlershof","2017-07-20 00:00:00"
