"business","location","ingredients","date","dish","price"
"Albert","Adlershof","","24.08.2017","Schnitzel mit Blumenkohl & Salzkartoffeln","5.80"
"Albert","Adlershof","Vegetarian;Soup","25.08.2017","Paprikacremesuppe mit Croutons","3.90"
"Albert","Adlershof","Vegetarian","25.08.2017","Vegetarische Gemüs-Albondigas mit pikanter Tomatensauce& Reis","5.00"
"Albert","Adlershof","","25.08.2017","Gyros- Spirelliauflauf mit Röstzwiebeln","5.80"
"Albert","Adlershof","Flammkuchen","21.08.2017","Flammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","7.00"
"Albert","Adlershof","Flammkuchen","22.08.2017","Flammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","7.00"
"Albert","Adlershof","Flammkuchen","23.08.2017","Flammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","7.00"
"Albert","Adlershof","Flammkuchen","24.08.2017","Flammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","7.00"
"Albert","Adlershof","Flammkuchen","25.08.2017","Flammkuchen: Akropolis“ mit Schmand, Gyros, Tzaziki & Zwiebelringe","7.00"
"Albert","Adlershof","Flammkuchen","21.08.2017","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50"
"Albert","Adlershof","Flammkuchen","22.08.2017","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50"
"Albert","Adlershof","Flammkuchen","23.08.2017","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50"
"Albert","Adlershof","Flammkuchen","24.08.2017","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50"
"Albert","Adlershof","Flammkuchen","25.08.2017","Flammkuchen: Klassisch mit Speck & Zwiebeln","5.50"
"Albert","Adlershof","Flammkuchen","21.08.2017","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50"
"Albert","Adlershof","Flammkuchen","22.08.2017","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50"
"Albert","Adlershof","Flammkuchen","23.08.2017","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50"
"Albert","Adlershof","Flammkuchen","24.08.2017","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50"
"Albert","Adlershof","Flammkuchen","25.08.2017","Flammkuchen: Mozzarella, Tomate & frischer Basilikum","5.50"
"Albert","Adlershof","Flammkuchen","21.08.2017","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00"
"Albert","Adlershof","Flammkuchen","22.08.2017","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00"
"Albert","Adlershof","Flammkuchen","23.08.2017","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00"
"Albert","Adlershof","Flammkuchen","24.08.2017","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00"
"Albert","Adlershof","Flammkuchen","25.08.2017","Flammkuchen: Rucola, Serranoschinken & Parmesan","6.00"
"Albert","Adlershof","Flammkuchen;Fish","21.08.2017","Flammkuchen: Thunfisch & Zwiebeln","6.00"
"Albert","Adlershof","Flammkuchen;Fish","22.08.2017","Flammkuchen: Thunfisch & Zwiebeln","6.00"
"Albert","Adlershof","Flammkuchen;Fish","23.08.2017","Flammkuchen: Thunfisch & Zwiebeln","6.00"
"business","location","ingredients","date","dish","price"
"Esswirtschaft","Adlershof","","21.08.2017","Geschnetzeltes Züricher Art mit Champignons und Bandnudeln",""
"Esswirtschaft","Adlershof","","22.08.2017","Geschnetzeltes Züricher Art mit Champignons und Bandnudeln",""
"Esswirtschaft","Adlershof","","23.08.2017","Geschnetzeltes Züricher Art mit Champignons und Bandnudeln",""
