"business","price","dish","ingredients","date","location"
"Jouis Nour","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Bio;Vegetarian;Soup","14.7.2017","Adlershof"
"Jouis Nour","7.5","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Bio","17.7.2017","Adlershof"
"Jouis Nour","5.9","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","Bio;Vegetarian","17.7.2017","Adlershof"
"Jouis Nour","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Bio;Vegetarian;Soup","17.7.2017","Adlershof"
"Jouis Nour","7.5","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","Bio","18.7.2017","Adlershof"
"Jouis Nour","5.9","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","Vegan;Bio;Vegetarian","18.7.2017","Adlershof"
"Jouis Nour","4","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","Bio;Vegetarian;Soup","18.7.2017","Adlershof"
"Jouis Nour","7.5","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","Bio","19.7.2017","Adlershof"
"Jouis Nour","5.5","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","Bio;Vegetarian","19.7.2017","Adlershof"
"Jouis Nour","4.5","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","Vegan;Bio;Vegetarian","19.7.2017","Adlershof"
"Jouis Nour","7.9","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","Fish","20.7.2017","Adlershof"
"Jouis Nour","5.9","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","Bio;Vegetarian","20.7.2017","Adlershof"
"Jouis Nour","4","Kohlrabicreme-Suppe mit Schnittlauch","Bio;Vegetarian;Soup","20.7.2017","Adlershof"
"Jouis Nour","7","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","Bio","21.7.2017","Adlershof"
"Jouis Nour","5.5","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","Bio;Vegetarian","21.7.2017","Adlershof"
"Jouis Nour","4","Blumenkohl-Süppchen mit gerösteten Haferflocken","Vegan;Bio;Vegetarian","21.7.2017","Adlershof"
"Jouis Nour","7.5","Schaschlik-Spieß mit ungarische, Letscho und Reis","Bio","24.7.2017","Adlershof"
"Jouis Nour","5.9","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","Bio;Vegetarian","24.7.2017","Adlershof"
"Jouis Nour","4","Paprika-Mais Suppe mit Sonnenblumenkerne","Vegan;Bio;Vegetarian;Soup","24.7.2017","Adlershof"
"Jouis Nour","7","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","Bio","25.7.2017","Adlershof"
"Jouis Nour","5.9","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","Bio;Vegetarian","25.7.2017","Adlershof"
"Jouis Nour","4","Champignon-Cremesuppe mit frischen Kräutern","Bio;Vegetarian;Soup","25.7.2017","Adlershof"
"Jouis Nour","7.5","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","Bio","26.7.2017","Adlershof"
"Jouis Nour","5.9","Bandnudeln an Pfifferlingsrahm und Krischtomaten","Bio;Vegetarian","26.7.2017","Adlershof"
"Jouis Nour","4","Berliner Kartoffelsuppe mit Kräuterschmand","Bio;Vegetarian;Soup","26.7.2017","Adlershof"
"Jouis Nour","7.9","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","Fish","27.7.2017","Adlershof"
"Jouis Nour","5.9","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","Bio;Vegetarian","27.7.2017","Adlershof"
"Jouis Nour","4","Tomatencremesuppe mit Käse-Croutons","Bio;Vegetarian;Soup","27.7.2017","Adlershof"
"Jouis Nour","7.5","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","Bio","28.7.2017","Adlershof"
"Jouis Nour","6","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","Vegan;Bio;Vegetarian","27.7.2017","Adlershof"
"Jouis Nour","4","Lauch-Rahmsüppchen mit Karotttenraspeln","Bio;Vegetarian","27.7.2017","Adlershof"
