"18.07.2017","","5,90","Adlershof","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken"
"19.07.2017","","5,90","Adlershof","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken"
"20.07.2017","","5,90","Adlershof","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken"
"21.07.2017","","5,90","Adlershof","La Petite","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken"
"17.07.2017","Vegetarian","6,20","Adlershof","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis"
"18.07.2017","Vegetarian","6,20","Adlershof","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis"
"19.07.2017","Vegetarian","6,20","Adlershof","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis"
"20.07.2017","Vegetarian","6,20","Adlershof","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis"
"21.07.2017","Vegetarian","6,20","Adlershof","La Petite","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis"
"17.07.2017","","6,50","Adlershof","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison"
"18.07.2017","","6,50","Adlershof","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison"
"19.07.2017","","6,50","Adlershof","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison"
"20.07.2017","","6,50","Adlershof","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison"
"21.07.2017","","6,50","Adlershof","La Petite","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison"
"17.07.2017","","4,90","Adlershof","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat"
"18.07.2017","","4,90","Adlershof","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat"
"19.07.2017","","4,90","Adlershof","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat"
"20.07.2017","","4,90","Adlershof","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat"
"21.07.2017","","4,90","Adlershof","La Petite","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat"
"17.07.2017","","6,60","Adlershof","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"18.07.2017","","6,60","Adlershof","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"19.07.2017","","6,60","Adlershof","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"20.07.2017","","6,60","Adlershof","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"21.07.2017","","6,60","Adlershof","La Petite","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat"
"date","ingredients","price","location","business","dish"
"17.07.2017","Soup","4,70","Alexanderplatz","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"18.07.2017","Soup","4,70","Alexanderplatz","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"19.07.2017","Soup","4,70","Alexanderplatz","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"20.07.2017","Soup","4,70","Alexanderplatz","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"21.07.2017","Soup","4,70","Alexanderplatz","Suppencult","Soljanka mit Kassler, Kartoffeln, Tomaten, Paprika, sauren Gurken, Sahne und frischer Petersilie"
"17.07.2017","","4,30","Alexanderplatz","Suppencult","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"18.07.2017","","4,30","Alexanderplatz","Suppencult","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"19.07.2017","","4,30","Alexanderplatz","Suppencult","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"20.07.2017","","4,30","Alexanderplatz","Suppencult","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"21.07.2017","","4,30","Alexanderplatz","Suppencult","Kartoffeltopf mit Speck und Würstchen, Lauch, Sahne und frischer Petersilie"
"17.07.2017","Fish;Soup","4,40","Alexanderplatz","Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"18.07.2017","Fish;Soup","4,40","Alexanderplatz","Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"19.07.2017","Fish;Soup","4,40","Alexanderplatz","Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"20.07.2017","Fish;Soup","4,40","Alexanderplatz","Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"21.07.2017","Fish;Soup","4,40","Alexanderplatz","Suppencult","Asiatische Fischsuppe mit Reis, Möhren, Staudensellerie, Lauch, Kokosmilch, Chili und frischem Koriander"
"17.07.2017","","5,50","Alexanderplatz","Suppencult","Königsberger Klopse hausgemacht, mit Kartoffeln, Kapern und frischer Petersilie"
"18.07.2017","","5,50","Alexanderplatz","Suppencult","Königsberger Klopse hausgemacht, mit Kartoffeln, Kapern und frischer Petersilie"
"19.07.2017","","5,50","Alexanderplatz","Suppencult","Königsberger Klopse hausgemacht, mit Kartoffeln, Kapern und frischer Petersilie"
"20.07.2017","","5,50","Alexanderplatz","Suppencult","Königsberger Klopse hausgemacht, mit Kartoffeln, Kapern und frischer Petersilie"
"21.07.2017","","5,50","Alexanderplatz","Suppencult","Königsberger Klopse hausgemacht, mit Kartoffeln, Kapern und frischer Petersilie"
"17.07.2017","","5,40/5,80","Alexanderplatz","Suppencult","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"18.07.2017","","5,40/5,80","Alexanderplatz","Suppencult","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"19.07.2017","","5,40/5,80","Alexanderplatz","Suppencult","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"20.07.2017","","5,40/5,80","Alexanderplatz","Suppencult","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"21.07.2017","","5,40/5,80","Alexanderplatz","Suppencult","Glasnudelsalat mit verschiedenen Blattsalaten, geraspelten Möhren, Paprika, Sojasprossen, Morcheln, einem hausgemachten Limettendressing, Erdnüssen und frischem Koriander, auf Wunsch mit Hähnchenbrustfilet"
"17.07.2017","","5,60/6,00","Alexanderplatz","Suppencult","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"18.07.2017","","5,60/6,00","Alexanderplatz","Suppencult","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"19.07.2017","","5,60/6,00","Alexanderplatz","Suppencult","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"20.07.2017","","5,60/6,00","Alexanderplatz","Suppencult","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"21.07.2017","","5,60/6,00","Alexanderplatz","Suppencult","Bunte Salatvariation mit in Rosmarin gebratenen Süßkartoffeln, Hirtenkäse und einem hausgemachten Agavendressing, auf Wunsch mit Hähnchenbrustfilet"
"17.07.2017","Soup","4,30","Alexanderplatz","Suppencult","Türkische Linsensuppe mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"18.07.2017","Soup","4,30","Alexanderplatz","Suppencult","Türkische Linsensuppe mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"19.07.2017","Soup","4,30","Alexanderplatz","Suppencult","Türkische Linsensuppe mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"20.07.2017","Soup","4,30","Alexanderplatz","Suppencult","Türkische Linsensuppe mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"21.07.2017","Soup","4,30","Alexanderplatz","Suppencult","Türkische Linsensuppe mit Kartoffeln, Tomaten, Paprika, Möhren, Staudensellerie, Lauch, Minze, Crème fraiche und frischem Koriander"
"17.07.2017","","4,25","Alexanderplatz","Suppencult","Sommerlicher Gemüseeintopf mit Kartoffeln, grünen Bohnen, Radieschen, Birnenstücken, Sahne und frischem Schnittlauch"
"18.07.2017","","4,25","Alexanderplatz","Suppencult","Sommerlicher Gemüseeintopf mit Kartoffeln, grünen Bohnen, Radieschen, Birnenstücken, Sahne und frischem Schnittlauch"
"19.07.2017","","4,25","Alexanderplatz","Suppencult","Sommerlicher Gemüseeintopf mit Kartoffeln, grünen Bohnen, Radieschen, Birnenstücken, Sahne und frischem Schnittlauch"
"20.07.2017","","4,25","Alexanderplatz","Suppencult","Sommerlicher Gemüseeintopf mit Kartoffeln, grünen Bohnen, Radieschen, Birnenstücken, Sahne und frischem Schnittlauch"
"21.07.2017","","4,25","Alexanderplatz","Suppencult","Sommerlicher Gemüseeintopf mit Kartoffeln, grünen Bohnen, Radieschen, Birnenstücken, Sahne und frischem Schnittlauch"
"17.07.2017","","4,40","Alexanderplatz","Suppencult","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"18.07.2017","","4,40","Alexanderplatz","Suppencult","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"19.07.2017","","4,40","Alexanderplatz","Suppencult","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"20.07.2017","","4,40","Alexanderplatz","Suppencult","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"20.07.2017","Vegetarian","","Adlershof","Esswirtschaft","Penne Rigate mit Basilikumpesto, Parmesan und fritiertem Rucola"
"21.07.2017","Fish","","Adlershof","Esswirtschaft","Lachs im Cajun-Gewürzmantel mit Kräuter-Schmand, dazu Kartoffel-Gurkensalat"
"21.07.2017","Vegetarian","","Adlershof","Esswirtschaft","Apfel-Bananen-Curry auf Schmorkartoffeln"
"21.07.2017","","4,40","Alexanderplatz","Suppencult","Blumenkohlcrème mit gerösteten Blumenkohlstücken, Sahne und frischem Schnittlauch"
"17.07.2017","Soup","4,40","Alexanderplatz","Suppencult","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"18.07.2017","Soup","4,40","Alexanderplatz","Suppencult","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"19.07.2017","Soup","4,40","Alexanderplatz","Suppencult","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"20.07.2017","Soup","4,40","Alexanderplatz","Suppencult","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"21.07.2017","Soup","4,40","Alexanderplatz","Suppencult","Gazpacho kalte andalusische Gemüsesuppe mit Gurken, Tomaten, Paprika, Croutons und frischer Petersilie"
"17.07.2017","Dessert","2,50/3,20","Alexanderplatz","Suppencult","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"18.07.2017","Dessert","2,50/3,20","Alexanderplatz","Suppencult","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"19.07.2017","Dessert","2,50/3,20","Alexanderplatz","Suppencult","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"20.07.2017","Dessert","2,50/3,20","Alexanderplatz","Suppencult","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"21.07.2017","Dessert","2,50/3,20","Alexanderplatz","Suppencult","Kalter Milchreis mit Kirschen oder Apfelmus, zucker und Zimt"
"17.07.2017","","2,50/3,20","Alexanderplatz","Suppencult","Mascarpone Quarkcrème mit Himbeersoße"
"18.07.2017","","2,50/3,20","Alexanderplatz","Suppencult","Mascarpone Quarkcrème mit Himbeersoße"
"19.07.2017","","2,50/3,20","Alexanderplatz","Suppencult","Mascarpone Quarkcrème mit Himbeersoße"
"20.07.2017","","2,50/3,20","Alexanderplatz","Suppencult","Mascarpone Quarkcrème mit Himbeersoße"
"21.07.2017","","2,50/3,20","Alexanderplatz","Suppencult","Mascarpone Quarkcrème mit Himbeersoße"
"date","ingredients","price","location","business","dish"
"17.07.2017","","4.00","Adlershof","Sonnenschein","Borschtsch Ukrainische Art & 1 Brötchen"
"17.07.2017","","6.00","Adlershof","Sonnenschein","Rinderroulade in Del.sauce, Apfelrotkohl, Butterkartoffeln"
"17.07.2017","","6.00","Adlershof","Sonnenschein","Hühnerbrust mit Gemüse Julien unter Pesto Sauce, Butterkartoffeln, kl. Salat"
"17.07.2017","","5.90","Adlershof","Sonnenschein","Lasagne Bolognese, cremige Tomatensauce, kl. Salat"
"17.07.2017","","5.80","Adlershof","Sonnenschein","Tortiglioni „Carbonara“, Parmesankäse"
"17.07.2017","Vegetarian","5.00","Adlershof","Sonnenschein","Kohlrouladen, Kräuterrahmsauce (vegetarisch)"
"18.07.2017","","4.00","Adlershof","Sonnenschein","Chili con Carne & 1 Brötchen"
"18.07.2017","","6.00","Adlershof","Sonnenschein","Rinderhacksteak auf grüne Bohnen in cremige Tomatensauce mit Feta überbacken Griechische Art, Reis"
"18.07.2017","","6.00","Adlershof","Sonnenschein","Hähnchenschnitzel Piccata, Bratkartoffel, Kräuterrahmsauce, Salat"
"18.07.2017","","5.90","Adlershof","Sonnenschein","Schweine Roulade, Kaisergemüse, Bratkartoffeln, Kräuterrahmsauce"
"18.07.2017","","5.80","Adlershof","Sonnenschein","Hackröllchen in Auberginen-Bacon-Mantel, cremige Tomatensauce, Nudeln"
"18.07.2017","Vegetarian","5.00","Adlershof","Sonnenschein","Senf Eier, Butterkartoffeln, Blumenkohlröschen (vegetarisch)"
"19.07.2017","","4.00","Adlershof","Sonnenschein","Rote Linseneintopf mit Kasseler Würfeln & 1 Brötchen"
"19.07.2017","","6.50","Adlershof","Sonnenschein","Roastbeef Braten, grüne Bohnen, Butterkartoffeln, Zwiebelrahmsauce"
"19.07.2017","","6.00","Adlershof","Sonnenschein","Wrap, Sauce Bolognese, Salat"
"19.07.2017","","6.00","Adlershof","Sonnenschein","Hühnerbrust „Fromage“, Nudeln, Kräuterrahmsauce"
"19.07.2017","","5.90","Adlershof","Sonnenschein","Riesen Currywurst, Bratkartoffeln, Salat"
