"location","price","dish","ingredients","date","business"
"Adlershof","","Schupfnudelpfanne mit Gemüse und frittiertem Rucola","Vegetarian","16.08.2017","Esswirtschaft"
"Adlershof","","Rinderroulade mit Speck und Gurke auf Rahmwirsing, dazu Kartoffelpüree","","17.08.2017","Esswirtschaft"
"location","price","dish","ingredients","date","business"
"Adlershof","7.5","Puten-Tagliatelle mit Limettensauce und buntem Sommersalat","Bio","14.7.2017","Jouis Nour"
"Adlershof","5.9","Gemüse-Paella á la Jouis Nour mit frischem Gemüse und Joghurt-Dip","Bio;Vegetarian","14.7.2017","Jouis Nour"
"Adlershof","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Soup;Bio;Vegetarian","14.7.2017","Jouis Nour"
"Adlershof","7.5","Gebratene Hähnchenkeule mit Backkartoffeln an Knackigem Krautsalat und Salsa-Dip","Bio","17.7.2017","Jouis Nour"
"Adlershof","5.9","Buntes Spirelli-Brokkoli-Gratin mit Grünkern und Tomatensauce","Bio;Vegetarian","17.7.2017","Jouis Nour"
"Adlershof","4.5","Zucchinicremesuppe mit gerösteten Haferflocken","Soup;Bio;Vegetarian","17.7.2017","Jouis Nour"
"Adlershof","7.5","Griechischer Hackfleisch-Auflauf mit Bohnen und Fetakäse an Kräauterquark","Bio","18.7.2017","Jouis Nour"
"Adlershof","5.9","Gemüse-Quinoa-Pfanne mit Naturreis und einer leichten Curry-Sauce","Bio;Vegetarian;Vegan","18.7.2017","Jouis Nour"
"Adlershof","4","Toskanische Zuppa del Contadino (Bauersuppe) m. Dinkel u. geriebene Käse","Soup;Bio;Vegetarian","18.7.2017","Jouis Nour"
"Adlershof","7.5","Rinder-Rahmgeschnetzeltes mit Kartoffelpüree und Champignons","Bio","19.7.2017","Jouis Nour"
"Adlershof","5.5","Spagetthi mit Oliven, Peperoni, Käse und frischen Kräutern, dazu Salat","Bio;Vegetarian","19.7.2017","Jouis Nour"
"Adlershof","4.5","Grüner Bohnen-Eintopf mit Sonnenblumenkernen","Bio;Vegetarian;Vegan","19.7.2017","Jouis Nour"
"Adlershof","7.9","Seelachs mit Rahmlinsen, bunten Reis und grüner Salat","Fish","20.7.2017","Jouis Nour"
"Adlershof","5.9","Kartoffel-Pfifferlingsauflauf mit Lauchstreifen und Kräaterkruste","Bio;Vegetarian","20.7.2017","Jouis Nour"
"Adlershof","4","Kohlrabicreme-Suppe mit Schnittlauch","Soup;Bio;Vegetarian","20.7.2017","Jouis Nour"
"Adlershof","7","Klopse “Königsberger Art” mit Rote Beete und Kartoffelpüree","Bio","21.7.2017","Jouis Nour"
"Adlershof","5.5","Bunte Gemüse-Schupfnudeln-Pfanne mit Pesto","Bio;Vegetarian","21.7.2017","Jouis Nour"
"Adlershof","4","Blumenkohl-Süppchen mit gerösteten Haferflocken","Bio;Vegetarian;Vegan","21.7.2017","Jouis Nour"
"Adlershof","7.5","Schaschlik-Spieß mit ungarische, Letscho und Reis","Bio","24.7.2017","Jouis Nour"
"Adlershof","5.9","Gebackene Rosmarin-Ofenkartoffeln mit Ratatouille-Gemüse und Paprika Schmand","Bio;Vegetarian","24.7.2017","Jouis Nour"
"Adlershof","4","Paprika-Mais Suppe mit Sonnenblumenkerne","Soup;Bio;Vegetarian;Vegan","24.7.2017","Jouis Nour"
"Adlershof","7","Bratwurst auf Weinsauerkraut mit Petersilienkartoffeln und Kräutersenfsauce","Bio","25.7.2017","Jouis Nour"
"Adlershof","5.9","Indische Gemüsepfanne mit Kichererbsenpüre und Joguhrt-Minz-Dip","Bio;Vegetarian","25.7.2017","Jouis Nour"
"Adlershof","4","Champignon-Cremesuppe mit frischen Kräutern","Soup;Bio;Vegetarian","25.7.2017","Jouis Nour"
"Adlershof","7.5","Hausgemachtes Leber-Ragout mit Apfel an Kartoffelpüree und gerösteten Zwiebeln","Bio","26.7.2017","Jouis Nour"
"Adlershof","5.9","Bandnudeln an Pfifferlingsrahm und Krischtomaten","Bio;Vegetarian","26.7.2017","Jouis Nour"
"Adlershof","4","Berliner Kartoffelsuppe mit Kräuterschmand","Soup;Bio;Vegetarian","26.7.2017","Jouis Nour"
"Adlershof","7.9","Schollenfilet gedünstet in Dillrahm mit Kartoffeln und Gurkensalat","Fish","27.7.2017","Jouis Nour"
"Adlershof","5.9","Mediterrane Gemüse-Lasagne mit einem Kräuter-Dip","Bio;Vegetarian","27.7.2017","Jouis Nour"
"Adlershof","4","Tomatencremesuppe mit Käse-Croutons","Soup;Bio;Vegetarian","27.7.2017","Jouis Nour"
"Adlershof","7.5","Brandenburger Schmorkohl mit Hackfleisch und Petersilienkartoffeln","Bio","28.7.2017","Jouis Nour"
"Adlershof","6","Farfalle mit Tomaten-Oliven-Sauce und frischen Kräutern","Bio;Vegetarian;Vegan","27.7.2017","Jouis Nour"
"Adlershof","4","Lauch-Rahmsüppchen mit Karotttenraspeln","Bio;Vegetarian","27.7.2017","Jouis Nour"
"location","price","dish","ingredients","date","business"
"Adlershof","5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","","14.08.2017","La Petite"
"Adlershof","5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","","15.08.2017","La Petite"
"Adlershof","5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","","16.08.2017","La Petite"
"Adlershof","5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","","17.08.2017","La Petite"
"Adlershof","5,90","Salatteller mit frischem buntem Gartensalat wahlweise mit Sweet Chili Chicken","","18.08.2017","La Petite"
"Adlershof","6,20","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","Vegetarian","14.08.2017","La Petite"
"Adlershof","6,20","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","Vegetarian","15.08.2017","La Petite"
"Adlershof","6,20","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","Vegetarian","16.08.2017","La Petite"
"Adlershof","6,20","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","Vegetarian","17.08.2017","La Petite"
"Adlershof","6,20","Red Thai Curry mit asiatischem Gemüse, Zitronengras wahlweise mit Chicken oder Vegetarisch auf Basmatireis","Vegetarian","18.08.2017","La Petite"
"Adlershof","6,50","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","","14.08.2017","La Petite"
"Adlershof","6,50","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","","15.08.2017","La Petite"
"Adlershof","6,50","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","","16.08.2017","La Petite"
"Adlershof","6,50","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","","17.08.2017","La Petite"
"Adlershof","6,50","Paniertes Schweineschnitzel mit ChampignonRahmsauce, dazu Petersilienkartoffeln + Salatbeilage der Saison","","18.08.2017","La Petite"
"Adlershof","4,90","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","","14.08.2017","La Petite"
"Adlershof","4,90","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","","15.08.2017","La Petite"
"Adlershof","4,90","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","","16.08.2017","La Petite"
"Adlershof","4,90","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","","17.08.2017","La Petite"
"Adlershof","4,90","Studio CurryWurst mit Spezialsauce, dazu Kartoffel.oder Nudelsalat","","18.08.2017","La Petite"
"Adlershof","6,60","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","","14.08.2017","La Petite"
"Adlershof","6,60","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","","15.08.2017","La Petite"
"Adlershof","6,60","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","","16.08.2017","La Petite"
"Adlershof","6,60","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","","17.08.2017","La Petite"
"Adlershof","6,60","ChickenBurger mit saftigem KrispyChicken vom Grill, hausgemachter Majonäse, knackigem Salat, Tomaten und Zwiebeln, Käse und Gewürzgurken + American Krautsalat","","18.08.2017","La Petite"
"Adlershof","","Riz Casimir mit gerösteten Mandelsplittern und Reis","Vegetarian","17.08.2017","Esswirtschaft"
"Adlershof","","Fischfilet, in der Eihülle gebacken, mit Tomatensauce und Spaghettini","Fish","18.08.2017","Esswirtschaft"
"Adlershof","","Gebratener Reis mit Räuchertofu, Senfkohl und Sojasauce","Vegetarian;Vegan","18.08.2017","Esswirtschaft"
"Adlershof","7.5","Schnitzel mit Pfifferlings-Waldpilz-Rahmsauce, Kartoffelstampf und Tomatensalat","Bio","31.7.2017","Jouis Nour"
